atoll_id,atoll_name,abbreviation,total_islands,capital_island
1,Alifu Alifu,AA,8,Rasdhoo
2,Alifu Dhaalu,AD,10,Mahibadhoo
3,Baa,B,13,Eydhafushi
4,Dhaalu,DH,6,Kudahuvadhoo
5,Faafu,F,5,Nilandhoo
6,Gaafu Alifu,GA,9,Vilin'Gili
7,Gaafu Dhaalu,GD,9,Thinadhoo
8,Gnaviyani,GN,1,Fuvahmulah
9,Haa Alifu,HA,14,Dhihdhoo
10,Haa Dhaalu,HD,13,Kulhudhuffushi
11,Kaafu,K,9,Thulusdhoo
12,Laamu,L,11,Fonadhoo
13,Lhaviyani,LH,4,Naifaru
14,MLE,,3,Maale
15,Meemu,M,8,Muli
16,Noonu,N,13,Manadhoo
17,Raa,R,15,Un'Goofaaru
18,Seenu,S,6,Hithadhoo
19,Shaviyani,SH,14,Funadhoo
20,Thaa,TH,13,Veymandoo
21,Vaavu,V,5,Felidhoo
